Date	vikkisibbi	ebb	thorsteinnah	arninja	thorsteinns	arnarleo	viktorhelgi	nonni123	tindurs	jonhugi97	birgirms	2g1c
18.3.2021	106158	101496	75668	75339	73385	63142	57654	56903	54800	54513	48671	41355
19.3.2021	106226	101213	75882	74988	73795	63210	57667	56691	54607	54744	48759	41622
20.3.2021	106539	101211	75962	75133	73628	63111	57735	56607	54539	54650	48750	41730
21.3.2021	106604	100962	76071	75171	73612	63256	57794	56586	54565	54686	48807	41761
22.3.2021	106722	100946	75704	75340	73561	63105	57953	56663	54808	54668	49009	41865
23.3.2021	106800	101053	75701	75234	73272	63236	57928	56641	54677	54668	49057	41946
24.3.2021	106602	100985	75477	75246	73326	63319	58190	56631	54630	54669	49149	42062
25.3.2021	106638	101124	75554	75373	73295	63240	58339	56846	54622	54709	49036	42059
26.3.2021	106697.5	101257.5	75473.5	75219.5	73347	63241	58168.5	57050.5	54606	54816.5	49301	42123.5
27.3.2021	106468.5	100973	75615	75685.5	73827	63523.5	57998.5	56702	54802.5	55006	49432	42111
28.3.2021	106487.5	100626.5	75885	75524.5	73983.5	63478	58108	56517.5	54950	55202.5	49488.5	42044.5
29.3.2021	106605	100515	75853	75609	73957	63514	58140	56464	54983	55240	49489	41992
30.3.2021	105460	100372	75552	75807	71884	66203	58788	56731	54755	54871	49974	42312
31.3.2021	105683	100143	75677	75981	71866	66175	58858	56539	54614	54774	49872	42188
1.4.2021	105645	100303	75625	75843	72073	66279	58963	56708	54635	54898	49730	42204
2.4.2021	105682	99768	75600	75781	71886	66714	59205	56903	54836	54952	49705	42100
3.4.2021	105405	99959	75850	75238	71938	67019	58843	56914	55095	54720	49439	42023
4.4.2021	105244	99976	75680	75389	71811	67157	59049	56928	55019	54949	49406	41903
6.4.2021	105783	99898	75201	75626	72673	67261	58773	57004	54508	54860	49794	41453
7.4.2021	105613	99412	75277	75617	73210	67532	58810	57185	54643	55221	49532	41622
8.4.2021	105292	99711	75783	75767	73017	67412	58762	56985	54708	55470	49781	41355
9.4.2021	105215	99614	75894	75760	72758	67415	58689	57269	54538	55187	50040	41518
10.4.2021	105090	99547	75615	75818	73210	67744	58880	56929	54107	55149	50022	41474
11.4.2021	105514	99590	75276	75613	73259	67717	58924	56798	54180	54750	49922	41367
12.4.2021	105478	99765	75173	75569	73329	67701	59136	56904	53901	54614	49853	41531
13.4.2021	105472	99474	75332	75187	73223	67644	59037	56846	54450	54445	49740	41397
14.4.2021	105526	99548	74751	75510	73021	67577	58896	56881	55122	54415	49993	41232
15.4.2021	105305	99571	74470	75618	73063	67977	58674	56923	55376	54654	49672	41324
16.4.2021	105818	99601	74611	75441	73300	67647	58361	56836	55100	54615	49641	41221
17.4.2021	106161	99639	74407	75356	73431	67583	58205	56875	55298	54452	49789	41510
18.4.2021	105894	99780	74231	75583	73241	67925	58307	56839	55296	54560	49912	41441
19.4.2021	105969	99771	74132	75418	73289	67899	58153	56713	55431	54664	49962	41258
20.4.2021	105645	99697	74320	75430	73169	67759	58003	56793	55582	54485	49968	41555
21.4.2021	105737	99956	74124	75842	73000	67483	57797	57051	55670	54323	49546	41270
22.4.2021	105811	100083	74087	75649	72838	68029	57780	56789	56048	54264	49234	41505
23.4.2021	105569	100144	74324	76010	72945	67684	57822	56492	55782	54234	49422	41288
24.4.2021	106014	100271	74398	75888	72420	67522	57863	55960	55431	54268	49209	41423
25.4.2021	105609	100460	74451	76087	72239	67585	57738	55954	55038	54615	49154	41419
26.4.2021	105481	100603	74550	76077	72012	67487	57597	56227	54960	54355	49474	41335
27.4.2021	105097	100684	75004	76071	71775	67015	57435	56335	55241	54762	49445	41084
28.4.2021	105153	100308	74893	76126	71612	66683	57388	56240	55235	54940	50046	41362
29.4.2021	105362	100386	74624	75844	71541	66994	57782	55551	55095	54846	49545	42143
30.4.2021	104832	99825	73977	75707	71812	67066	57378	56187	54931	54587	49084	42389
1.5.2021	105238	100457	72758	75712	71225	67491	56882	56238	54116	54670	49185	42351
2.5.2021	104800	100496	72894	75811	70576	67859	55650	56094	53819	54661	48737	42019
3.5.2021	105074	99332	72808	75276	69895	67671	56047	55042	53874	54252	48616	41282
4.5.2021	105350	98780	73321	75268	69134	67660	56102	54424	52684	53482	48729	41598
5.5.2021	105269	97714	72546	75602	69086	67639	55667	54913	52265	53327	48250	41222
6.5.2021	104968	96830	72918	75640	68931	66740	55441	54385	52455	52916	48431	40759
7.5.2021	104609	97124	72896	75619	69060	66981	55569	53947	52698	53525	48363	40891
8.5.2021	104385	96952	72277	75528	68704	67355	55220	54424	52095	52514	48496	41096
9.5.2021	103762	98004	71944	75588	68595	67127	54906	53848	52444	52727	48750	40706
10.5.2021	104045	98174	71958	75037	68821	67278	55091	54819	52563	51645	48974	40186
11.5.2021	104396	97849	71316	74868	68908	67646	54874	54727	51850	51700	49237	40297
12.5.2021	104755	96824	71745	74650	69083	67896	55325	54524	51905	51932	49021	40355
13.5.2021	104305	97270	72055	74682	68399	67211	55042	53563	51759	52024	49032	40780
15.5.2021	104534	97726	70345	74610	68648	67228	54987	53463	51662	51439	48924	41337
16.5.2021	104179	103167	70934	74521	68073	66651	54219	53422	46869	51713	49162	40324
17.5.2021	104064	102818	70921	74424	67861	66491	54461	53771	47203	51631	49384	40342
18.5.2021	104497	102552	70585	74037	67905	66863	55016	53605	46993	51461	49167	39587
19.5.2021	104241	102893	70606	74858	67402	66902	54570	54394	46504	51956	49239	39418
20.5.2021	104523	102470	70872	75039	68272	66911	54770	53774	47370	51674	48419	39203
21.5.2021	103779	102574	70202	74861	67933	67122	54762	53915	46935	51382	48809	38996
22.5.2021	104012	101939	69991	74535	68013	66957	54594	54733	46290	51270	49497	38959
23.5.2021	104188	102098	69394	74509	68325	67290	54133	54738	45638	51365	49662	38934
24.5.2021	103805	101409	69925	74972	69462	67219	53784	55342	45767	51421	49421	39329
25.5.2021	103232	101226	69627	74828	68635	67508	54317	55344	45945	51847	49512	39196
26.5.2021	103705	101653	70108	74794	68309	66416	54664	54987	45914	50904	49364	39471
27.5.2021	103539	101959	70306	73901	68408	66805	54660	54918	46820	50730	49061	39789
28.5.2021	103811	102188	70292	73841	67800	66733	53704	54964	46918	51024	48444	40115
29.5.2021	103466	101528	71267	74208	68366	67216	53615	54352	46819	51375	48300	39911
30.5.2021	103159	101578	71128	74032	68532	67011	53438	54621	46971	51372	48518	40249
31.5.2021	103478	101184	71105	74301	68047	67031	53289	54642	46692	51498	48578	40421
1.6.2021	102993	101697	70916	73843	68160	66927	53420	54675	46487	51403	48531	40229
2.6.2021	102736	101366	70584	74280	68650	66610	53519	54803	45711	50769	48630	39813
3.6.2021	102852	101381	70057	74532	68551	66665	53366	54924	45529	50725	48352	39576
4.6.2021	102494	101296	70350	74193	68274	67166	53701	54535	45170	51176	48377	39974
5.6.2021	102423	101638	70325	73773	68114	66859	54092	54329	45166	51003	48465	39918
6.6.2021	102357	101632	70038	74223	68149	66797	54178	54460	45194	51235	48408	40119
7.6.2021	102312	102034	70401	73741	67678	66234	54032	54273	45089	51575	48805	40021
8.6.2021	101369	101890	70462	73600	67310	66492	53868	54455	45122	52027	49109	40338
9.6.2021	101313	101488	70772	73507	67595	66753	53869	54329	45431	51896	48415	40401
10.6.2021	100782	101813	70722	73102	67777	66371	53289	54458	46264	52055	48451	40574
11.6.2021	99902	101889	70260	72511	67455	66314	53280	54760	46200	52455	48107	40686
12.6.2021	99570	102536	70398	71957	67755	66311	53396	54387	46384	52411	47756	40553
13.6.2021	99563	102988	70393	72152	67252	66275	53140	54524	46148	52442	48206	40723
14.6.2021	99563	102988	70393	72152	67252	66275	53140	54524	46148	52442	48206	40723
15.6.2021	99563	102988	70393	72152	67252	66275	53140	54524	46148	52442	48206	40723
16.6.2021	100825	102027	70547	72309	67214	66275	53754	54158	46224	52412	48895	40878
17.6.2021	101039	102110	70401	72766	67501	66214	53435	53553	46173	52248	49210	40497
DRAFT	101720.75	102745.5	71125.5	73806.875	68014.75	67203.875	56138.25	55974.375	48002.5	53830.625	50483.25	41900.625
DRAFT	102402.5	103381	71850	74847.75	68528.5	68193.75	58841.5	58395.75	49832	55413.25	51756.5	43304.25
DRAFT	103084.25	104016.5	72574.5	75888.625	69042.25	69183.625	61544.75	60817.125	51661.5	56995.875	53029.75	44707.875
DRAFT	103766	104652	73299	76929.5	69556	70173.5	64248	63238.5	53491	58578.5	54303	46111.5
DRAFT	104447.75	105287.5	74023.5	77970.375	70069.75	71163.375	66951.25	65659.875	55320.5	60161.125	55576.25	47515.125
DRAFT	105129.5	105923	74748	79011.25	70583.5	72153.25	69654.5	68081.25	57150	61743.75	56849.5	48918.75
DRAFT	105811.25	106558.5	75472.5	80052.125	71097.25	73143.125	72357.75	70502.625	58979.5	63326.375	58122.75	50322.375
DRAFT	106493	107194	76197	81093	71611	74133	75061	72924	60809	64909	59396	51726
17.6.2021	106493	107194	76197	81093	71611	74133	75061	72924	60809	64909	59396	51726
18.6.2021	106613	107117	75923	81293	71677	74163	75509	73094	60865	64759	58773	51772
19.6.2021	106163	106780	76078	80949	70684	74066	75403	73402	61074	65268	59005	51589
20.6.2021	105979	107029	76510	80796	70647	74280	75224	73440	60833	65118	58557	51682
21.6.2021	105912	106947	76201	80539	71158	73797	75604	73723	60547	65011	59058	51416
22.6.2021	106430	106946	76067	80749	70828	73542	75491	73178	60780	64610	59222	51222
23.6.2021	106610	106460	75970	80496	70403	73714	75799	73667	60460	64765	59490	51153
24.6.2021	106848	106630	75776	80708	70526	74344	75696	73282	60432	65036	59155	51045
25.6.2021	106235	106504	75751	80493	70151	75065	75771	73268	60177	65230	59530	51581
26.6.2021	105812	106944	75865	80240	69844	74780	75863	73056	60668	65143	59981	51174
27.6.2021	105669	106520	75662	80046	69739	74661	75965	73388	60554	65442	59949	51322
28.6.2021	105545	106517	75874	79935	70154	74745	75932	73061	61181	65456	59715	50643
29.6.2021	105747	106326	76017	79659	70507	74701	76104	73254	60485	65412	59658	50394
30.6.2021	105774	106055	76349	79106	70769	74582	76509	72890	60629	65627	59763	50340
1.7.2021	105573	105866	76543	79734	70504	75116	76573	73244	60722	65692	59424	49961
2.7.2021	105506	105751	76631	80213	70942	75175	76498	72372	60297	65677	59219	50034
3.7.2021	105467	105912	77153	79860	70746	74870	76771	72346	60496	65091	58996	50312
4.7.2021	105161	105622	76731	79935	70493	75364	76475	72470	60561	65230	58736	50332
5.7.2021	105286	105793	76333	79853	70914	75241	76717	72122	60278	64950	58779	50404
6.7.2021	104624	106415	76290	79855	69721	75953	76753	71788	60733	65038	58668	50379
7.7.2021	104982	106125	76010	80225	70109	75651	76423	71882	60985	65229	58837	50542
8.7.2021	105672	105732	75821	80166	70075	75396	76214	71932	60244	65719	58897	50686
9.7.2021	106247	105953	76028	80244	70581	75175	76021	71489	59986	65627	60261	50611
10.7.2021	106359	106025	75635	79643	70836	74947	75876	71997	59653	66254	60531	50707
11.7.2021	106820	106085	76027	79755	70475	75057	76166	72136	59612	66025	60027	50442
12.7.2021	106279	106418	75683	79667	70890	75664	75842	72403	59113	65620	60289	50273
13.7.2021	106005	106072	76284	80147	71358	75246	75438	72294	59049	65691	60202	49856
14.7.2021	106195	106293	76093	80165	71110	76547	74966	72151	58601	65419	60286	49696
15.7.2021	106749	105901	76292	80048	71118	75847	74910	72571	58681	64811	60154	49943
16.7.2021	106739	105828	76474	79829	71062	75384	75071	72328	58618	65137	60238	50176
17.7.2021	106152	105862	76695	79450	71427	75822	75638	72443	58888	65601	59728	49566
18.7.2021	105733	105744	76754	80233	71682	75427	76003	72027	58680	65978	59742	49285
19.7.2021	105675	105891	76928	80040	70926	75529	76174	71991	58591	66393	60020	49299
20.7.2021	106026	106863	76519	80545	70015	75173	75906	72544	58425	66325	59986	49562
21.7.2021	106429	106461	76067	80772	69585	74863	72133	72635	58331	68389	59167	48942
22.7.2021	106465	107322	75486	80963	69536	74808	71810	72301	58866	68574	59430	48679
23.7.2021	106338	107622	76638	80447	70088	74928	71233	71955	58883	68006	59339	48795
24.7.2021	106857	107302	75555	80248	69737	74964	71061	72609	59163	68375	59445	48852
25.7.2021	106619	106625	75804	80468	69525	74468	70718	73165	59363	68377	59568	49104
26.7.2021	106158	106626	75967	80819	69144	74837	70960	73075	58791	68221	59271	49531
27.7.2021	107004	106630	75781	80471	69314	74917	71450	72148	58643	68076	59404	49297
28.7.2021	107223	106175	76049	80051	69235	74288	71232	71781	59134	68056	59926	49750
29.7.2021	106410	106323	75292	80425	69598	74340	71583	71436	58902	68010	59958	49533
30.7.2021	106080	106414	75348	80003	69233	74884	71818	71989	58968	67551	60364	49375
31.7.2021	106849	105937	75008	79906	69291	74698	71377	72020	59158	67883	60442	49413
1.8.2021	106950	106764	74743	79336	68471	74453	71601	71981	58755	67966	60130	49359
2.8.2021	107070	106379	74562	79589	68750	74651	71323	72032	58881	67915	60097	49328
3.8.2021	106730	106364	74846	80064	68563	74679	71232	72423	58884	68173	59727	48338
4.8.2021	106994	106556	75208	79733	68784	74137	71254	72250	59038	68348	59728	48229
5.8.2021	107400	106594	75006	79588	69174	74170	70458	73031	58972	67819	59351	48125
6.8.2021	106991	107065	74944	79817	69355	74346	70000	73145	58880	67343	59552	48295
7.8.2021	107574	107016	74519	79418	69850	74236	69613	73224	58524	67003	59312	48378
8.8.2021	107479	107347	74035	79750	69597	74259	69652	72964	58626	67339	59041	48657
9.8.2021	106745	107377	74067	79661	69413	74075	70644	73175	58973	67108	59093	48637
10.8.2021	106294	106966	74749	78931	69492	74920	70287	73399	59339	67062	58847	48433
11.8.2021	104600	107481	74721	79132	67995	75566	70618	73935	58969	66802	59663	48641
12.8.2021	105403	106965	75096	79015	68574	75287	70065	73672	59103	66337	59679	48293
13.8.2021	105487	107428	75654	79002	68215	75576	70200	73343	59274	65487	59774	47947
14.8.2021	105806	106765	75176	78638	67527	75601	70758	73584	59346	65477	59719	48189
15.8.2021	105306	106517	74746	78698	67087	75076	71234	73915	59213	65656	59602	48673
16.8.2021	105679	106244	74724	78904	67079	74569	71661	73672	58942	65556	59232	48419
17.8.2021	104899	106068	75173	78343	66924	74134	72233	74019	58618	65822	59416	48461
18.8.2021	104857	106130	75451	78143	66287	74792	72172	73770	58437	66177	59243	48050
19.8.2021	104614	105608	75331	77835	66547	74188	72460	73607	58358	66836	59464	47746
20.8.2021	104500	105163	75648	78586	67058	73555	71921	72591	58546	66533	59359	47757
21.8.2021	103829	105217	75776	78161	67329	73637	71760	71742	58785	66923	59106	48472
22.8.2021	103564	104509	75553	78171	67665	74484	71283	71795	58936	66695	58792	48448
23.8.2021	103787	105124	75835	78186	67846	74279	70337	70883	59434	66879	58266	48175
24.8.2021	104087	104522	75983	78226	67223	74374	70087	71390	59524	67112	58133	48360
25.8.2021	103342	104697	78293	78653	67432	73993	70405	69326	59223	66998	58516	48922
26.8.2021	102894	104722	79139	78394	66703	73654	70682	68114	59233	66635	58476	49358
27.8.2021	102618	104430	79276	78314	66743	73455	70524	68432	58408	67423	58651	49513
29.8.2021	103768	102962	79653	78306	67366	73794	70873	67892	57292	66428	57954	49922
30.8.2021	104042	101781	79895	78540	66514	73697	69848	68481	57614	66406	58244	50950
31.8.2021	104150	102586	79768	78518	66455	73478	69863	68658	56714	66309	58241	50603
1.9.2021	102697	101249	79320	78092	66818	72876	66711	61837	55123	62838	58271	52858
2.9.2021	101284	101533	80246	78581	66843	72024	66534	62241	55325	62237	58418	52822
3.9.2021	101525	100361	80597	78545	65861	71755	67777	63083	55344	61350	58047	52401
4.9.2021	100893	100010	81194	78793	65706	71407	67801	62765	55311	61993	58094	52270
5.9.2021	101162	100389	81664	78365	65325	71359	67514	62276	55585	61844	58146	52354
6.9.2021	105763	101147	82203	77928	66243	71853	71076	67241	57033	65485	58052	52027
7.9.2021	105087	101824	82916	77962	65840	72015	70987	67232	56826	65441	57721	51946
8.9.2021	105163	101324	82707	78140	65310	70997	71361	66544	57196	65498	58080	52375
9.9.2021	105242	100730	82298	77431	65775	70849	71834	66129	57095	65561	58427	52037
10.9.2021	106514	100573	82547	77819	65268	70810	72130	66456	57404	65351	57985	49425
11.9.2021	106116	100184	83117	78239	65015	71504	71700	66701	57296	64660	58065	48878
12.9.2021	106754	100217	82676	78098	65399	71343	71509	66154	56821	64769	58007	48715
13.9.2021	106684	99913	82649	78586	65327	71203	71730	65440	57225	64553	58023	48692
14.9.2021	106103	98548	82974	78801	66455	71703	73900	63765	57254	63170	58040	48050
15.9.2021	105353	97700	82880	78906	67711	73074	73823	62609	56215	62901	58071	48379
16.9.2021	105577	96989	82946	79614	68026	73864	74330	61686	56025	61813	57930	47534
17.9.2021	104725	96913	82947	79008	67859	74305	74325	62613	56083	61360	58624	47142
18.9.2021	105240	97066	83414	78059	67208	74234	74492	63108	56353	60223	58477	47189
19.9.2021	105266	97589	83028	77843	66957	74304	74089	62978	56652	60495	58217	47597
20.9.2021	104751	98194	82615	78687	66889	73890	73946	62984	56981	60117	57936	47630
21.9.2021	104342	98624	82354	78368	67260	74567	73636	61962	57154	60182	57283	48174
22.9.2021	103814	97957	83280	78237	67823	75048	74459	60515	57230	59988	56576	48051
23.9.2021	103142	97206	82705	78890	67938	73887	75474	59388	55780	61536	55742	48102
24.9.2021	102100	97763	81980	79426	67534	73932	75649	60562	55072	61878	55798	47775
25.9.2021	101943	97693	81589	81210	67413	73933	75868	60322	55155	62094	55131	47173
26.9.2021	102093	97782	80968	80629	67717	73502	75690	60952	55678	61702	55720	47080
27.9.2021	93924	102556	75686	88791	68074	73427	78454	58396	55457	61747	55840	47266
28.9.2021	94742	103001	76811	88165	68269	73205	78282	58778	54512	61494	55429	47302
29.9.2021	94984	102947	77374	87674	67512	73810	78714	58767	54047	61011	54829	47376

