player,id
nick williams,1604
jarred haggins,2636
damarr aultman,2672
malik taylor,6239
jordan leslie,3063
javess blue,2939
reggie begelton,6763
jake kumerow,2821
jeff cotton,7319
josh bellamy,1312
jauan jennings,7049
bralon addison,3620
danny amendola,491
chris blair,7521
dillon mitchell,6047
josh magee,4301
garrett scantling,4922
brandon tate,346
damond powell,2937
ricardo lockette,992
jeff smith,6557
deandre smelter,2436
joe morgan,958
laquvionte gonzalez,5427
khalil tate,7401
corey washington,2252
denarius moore,887
travis fulgham,6059
brandon lafell,613
germone hopper,4827
jawill davis,5175
ryan davis,6036
matt cole,7352
damion ratley,5080
javon wims,5111
chad williams,4128
jarius wright,1215
zimari manning,7211
travis labhart,1953
skye dawson,1627
freddie swain,7135
kendall wright,1097
equanimeous st brown,5323
anthony dable,3148
david richards,3672
lance lewis,1786
m harris,1771
shi smith,7603
caleb scott,5223
reggie davis,4681
trey quinn,5139
simi fehoko,7812
jalen reagor,6798
cj duncan,5734
jj nelson,2462
detrich clark,5243
nelson spruce,3484
michael preston,1313
tevin reese,2052
julio jones,947
jacoby jones,203
rasheed bailey,2753
demarcus ayers,3384
michael bandy,8076
jake wieneke,5211
travis benjamin,1077
adrian coxson,2929
pharoh cooper,3278
kevin white,2312
demetrius wilson,2918
marcus green,6288
warren jackson,7550
shane wynn,2603
al riles,4937
jamarius way,6713
joe walker,6727
kain colter,2153
damari scott,5166
duron carter,2564
chase claypool,6886
chris owusu,7509
allenzae staggers,5802
dj turner,7989
andre levrone,5249
bj daniels,1584
amba etta-tawo,4626
ishmael hyman,6209
denzel mims,6849
daesean hamilton,4998
josh lenz,1505
deandrew white,2801
josh stewart,1938
isaiah coulter,7085
golden tate,642
sergio bailey ii,5396
trevion thompson,6248
stefon diggs,2449
andy tanner,173
robby anderson,3423
deon long,2805
marquis bundy,3889
mario manningham,68
quincy enunwa,1854
janarion grant,5567
aaron burbridge,3368
jaron brown,1684
lamar atkins,4895
seth roberts,2039
ben roberts,3873
malcolm lewis,4392
mike brown,1321
anthony ratliff-williams,5984
ed eagan,3701
garrett johnson,5637
chris harper,1595
josh pearson,7452
johnny holton,3476
chris rowland,7175
danny anthrop,3454
josh harper,2713
rashad medaris,7395
kadarius toney,7606
penny hart,5902
malcom floyd,316
michael gallup,5038
rodney adams,4208
jeremy ross,1306
curtis samuel,4082
devonte boyd,5608
jaleel scott,5005
john brown,2238
marvin bracy,4813
justice shelton-mosley,7299
andy isabella,5915
antonio callaway,5310
bryce bobo,5787
ezell ruffin,2703
johnnie dixon,6019
damion willis,6549
donte sylencieux,8052
cj board,4344
bailey gaither,7885
mack hollins,4177
duplicate player,5109
mecole hardman,5917
tyrell williams,2583
quinton patton,1589
rueben randle,1164
marc mariani,539
liljordan humphrey,5938
devon cajuste,3500
torrey smith,826
francis owusu,4879
jakeem grant,3342
ben obomanu,243
austin mack,6873
james wright,1898
george farmer,2890
andrew hawkins,831
frankie hammond,1614
zay jones,4080
kenbrell thompkins,1655
tim white,4355
tanner mcevoy,3788
dorren miller,5359
brendan langley,4130
alton howard,4805
alonzo moore,4494
ventell bryant,6628
austin carr,4416
markus wheaton,1413
brandon smith,7865
quron pratt,1801
mike wallace,365
jalin marshall,3492
darnell mooney,7090
donatella luckett,2570
daurice fountain,5102
paul browning,2674
seyi ajirotutu,570
corey willis,5155
marquise brown,5848
kyle prater,2848
richard mullaney,3732
dontez ford,4595
devante parker,2319
darreus rogers,4676
joseph parker,6661
frank darby,7530
stacy coley,4254
chester rogers,3582
jeremy kelley,1432
cayleb jones,3447
james jones,253
bj johnson,4515
josh imatorbhebhe,8008
marlon moore,511
aj brown,5859
quez watkins,6927
karaun white,5283
joe forson,6677
charles holland,6643
darius prince,5799
jhamon ausbon,7582
kent shelby,5357
marquez stevenson,7556
domenik hixon,65
brian tyms,1699
ashton dulin,6427
vincent brown,891
brenton bersin,1742
deon cain,5101
rico richardson,1618
kevin ogletree,405
elijah moore,7596
kendrick ings,3052
nick holley,5710
jarrett boykin,1173
manasseh bailey,7400
amari rodgers,7540
michael dereus,7457
preston parker,620
jeff thomas,7076
allen hurns,1984
lawrence cager,7106
deshon foxx,2931
jalen saunders,1862
austin willis,2908
darius white,3945
lacoltan bester,1943
brice butler,1471
diontae johnson,5937
devin fuller,3393
roger lewis,3519
jalen tolliver,5383
antonio brown,536
tanner gentry,4551
jermaine kearse,1290
joshua cribbs,166
griff whalen,1247
jerome lane,4328
miles shuler,3858
marquez clark,2846
stanley morgan,6069
bryant mitchell,5831
jordan veasy,5293
andy jones,3702
lt smith,3025
donteea dye,2824
ahmad wagner,7228
tj simmons,7960
cobi hamilton,1390
percy harvin,429
miles austin,122
darvin kidsy,5722
eddie royal,297
ryan lankford,1966
chris hogan,1329
kj osborn,7066
darrius shepherd,6519
reggie white jr,6261
cameron posey,4749
anthony johnson,5929
trevor harman,2838
korey robertson,5210
chris finke,7092
