player,id
xavier jones,7088
cierre wood,1682
terry swanson,5201
kapri bibbs,2001
sione houma,3615
dalyn dawkins,5619
gus johnson,2785
craig reynolds,6659
tim hightower,83
asim rose,7918
jahvid best,592
darrell henderson,5916
caleb huntley,7741
demard llorens,4774
ryan green,5352
patrick carr,7425
joe mcknight,523
trey edmunds,4696
bilal powell,818
jeremy langford,2411
stevie scott,7904
terrance west,1912
chris ogbonnaya,454
kevin monangai,2748
wendell smallwood,3309
christian wade,6196
lache seastrunk,2101
giovani bernard,1386
theo riddick,1517
corey grant,2729
jk dobbins,6806
delance turner,5464
justice hill,5995
trayone gray,6506
james starks,762
martez carter,5138
shane vereen,814
itavius mathers,4630
alfred blue,1944
troymaine pope,3934
cameron scarlett,7435
evan royster,920
antonio andrews,1928
david johnson,2391
lamichael james,1225
lamical perine,6908
shannon brooks,7104
taiwan deal,6106
leonard fournette,3969
derrick gore,6753
wayne gallman,4150
david fluellen,1794
derrick henry,3198
matt jones,2400
george winn,1681
miles sanders,6151
jalin moore,5961
paul perkins,3211
quayvon hicks,3646
christian mccaffrey,4034
akrum wadley,5195
jahad thomas,4576
adrian killins,7093
james summers,4533
tim flanders,2200
alonzo harris,2766
trey ragas,7993
brandon wegher,2594
aj hines,7074
zurlon tipton,1976
deejay dallas,6931
ben malena,2065
jerome smith,2177
robert martin,5700
maurice jones-drew,293
greg jones,133
tion green,4596
boston scott,5122
devon johnson,3412
brian hill,4187
mike gillislee,1353
eno benjamin,6951
melvin gordon,2320
jordan scarlett,6167
nate mccrary,8058
royce freeman,5046
kenny hilliard,2534
luke lundy,2914
javian hawkins,7563
kalen ballage,4994
khalid abdullah,4697
donta foreman,4111
karan higdon jr,5976
joe don duncan,2942
deangelo williams,306
trey millard,2262
taquan mizzell,4349
derrius guice,4949
joe banyard,1236
dan herron,1307
byron marshall,3491
detrez newsome,5266
marcus marshall,6548
corey taylor,8092
ronnie hillman,1123
mekhi sargent,8085
connor slomka,7464
deveon smith,4398
tre madden,3564
jordan chunn,5168
daniel lasco,3392
kalif phillips,4385
adam choice,6491
terrell newby,4408
ryan mathews,571
legarrette blount,730
benny lemay,7048
tre mason,2231
ben tate,1004
josh rounds,4797
scottie phillips,7005
kendall gaskins,1671
raheem mostert,2749
jason snelling,215
trent richardson,1082
peyton hillis,660
don jackson,3722
phillip tanner,906
kenjon barner,1546
rod smith,2892
dedrick mills,7893
kendall hunter,978
dj foster,3488
brandon johnson,3901
brandon burks,3810
tashard choice,66
darrin hall,6448
malcolm brown,2588
michael robinson,723
tyler thigpen,492
kylin hill,7572
connor neighbors,2923
soma vainuku,3640
bronson hill,2599
akeem hunt,2731
jacquizz rodgers,949
kareem hunt,4098
dare ogunbowale,4718
ross scheuerman,2981
joel bouagnon,4548
austin walter,6553
jonathan williams,3312
josh johnson,8051
joe williams,4042
deangelo henderson,4239
romar morris,3883
mikey daniel,7172
rodney anderson,5918
javonte williams,7588
anthony jones,7424
latavius murray,1476
matthew colburn ii,6385
james gilbert jr,7336
christine michael,1596
trey sermon,7593
gump hayes,4777
peyton barber,3594
dri archer,1914
trey watts,2236
elijah hood,4265
gerald holmes,5791
cj prosise,3204
gary brightwell,7529
brandon radcliff,4806
daryl richardson,1265
stevan ridley,811
larry rountree,7574
frank gore,232
chris polk,1033
tj logan,4186
mike boone,5209
devwah whaley,7236
najee harris,7528
saquon barkley,4866
james williams,6169
ervin phillips,5407
tim cook,4623
travon mcmillian,6236
ladainian tomlinson,654
khiry robinson,1720
orleans darkwa,1819
tyler renew,4305
michael hill,1624
brandon bolden,1034
travis homer,6012
mike james,1560
xavier turner,6372
knile davis,1463
james conner,4137
denard robinson,1449
dalvin cook,4029
zac brooks,3402
david montgomery,5892
alstevis squirewell,3811
tavien feaster,7103
chris ezeala,5462
antonio gibson,6945
greg mccrae,7544
jarryd hayne,2786
alexander mattison,5987
braylon heard,2768
wes hills,6115
marcus murphy,2529
dwayne washington,3391
tevin coleman,2378
demitrius bronson,2293
alfred morris,1170
mike davis,2431
jake funk,7771
jamycal hasty,6996
justin forsett,458
jonathan ward,7087
ray lawry,5252
jj taylor,6973
jarveon williams,4372
shaun wilson,5395
darrel williams,5549
cj spiller,507
daryl virgies,4917
senorise perry,2114
leveon bell,1408
darius jackson,3371
danny woodhead,735
darren mcfadden,326
corey clement,4651
jarvion franklin,5278
marion grice,2048
mark walton,4997
clyde edwards-helaire,6820
antonio williams,7203
kene nwangwu,7720
jermar jefferson,7599
chris evans,7794
duke johnson,2382
darius clark,7614
eddie lacy,1527
cedric benson,6738
cordarrelle patterson,1535
donald brown,377
marcus martin,5558
devin singletary,6130
justin jackson,5131
jaret patterson,7537
keith marshall,3397
spencer ware,1601
chase price,3940
qadree ollison,6002
jason huntley,7107
chris carson,4273
kadeem carey,2104
tyler mccloskey,4463
kenneth dixon,3208
josh robinson,2506
godwin igwebuike,5220
josh adams,5136
jd moore,5550
toby gerhart,604
garrett groshek,7990
cameron marshall,1650
doug martin,1195
spencer larsen,241
